,GSM175786,GSM175787,GSM175788,GSM176082,GSM176083,GSM176084,GSM176085,GSM176086,GSM176087,GSM176088,GSM176089,GSM176090,GSM176091,GSM176092,GSM176234,GSM176236,GSM176238,GSM176240,GSM176039,GSM176040,GSM176041,GSM176043,GSM176093,GSM176094,GSM176095,GSM176096,GSM176097,GSM176098,GSM176099,GSM176100,GSM176101,GSM176127,GSM176132,GSM176137,GSM176141,GSM176142,GSM176143,GSM176144,GSM176145,GSM176146,GSM176319
FOXC1,68.74024,104.35116,59.602264,127.220924,203.86238,122.71112,103.81614,145.52997,107.272804,109.1764,82.77661,148.23053,161.73196,85.745735,29.17783,20.470163,46.688187,53.137016,35.317764,40.45054,19.026047,10.648681,26.256018,40.05211,13.686458,21.314402,17.367722,30.604322,39.325687,15.267017,18.950228,32.064682,31.290533,10.160753,26.072823,18.441622,123.81638,50.38403,70.2951,131.95547,34.837887
LHX9,33.60787,70.468346,44.230377,87.04433,83.33558,46.213566,76.17514,65.95064,73.80105,79.73914,53.006638,49.014584,68.38315,75.05254,55.538857,5.49359,9.509567,26.380375,1.9188595,0.41725507,9.127462,7.8290634,5.13457,0.57784396,5.027562,2.1085124,1.6806443,3.3467774,2.7856789,3.5573466,3.79261,2.902326,0.27134815,5.421919,2.8195145,0.48564607,4.684534,0.75011414,0.26363742,4.824818,6.9367633
JUNB,986.4545,1988.5842,401.9947,848.1955,1876.6119,1293.7982,491.44098,622.18756,474.7299,663.9589,800.1975,1008.89514,1433.5565,269.47516,147.40057,223.99344,542.45905,632.1279,213.77602,24.959814,68.55031,34.80518,126.96958,693.05695,113.26568,404.7188,482.7322,194.16971,169.78139,72.06967,296.63016,64.93091,45.61793,59.26003,321.57056,127.34824,373.1093,230.23874,66.787254,144.6226,125.60382
ELF3,19.699224,5.4658875,10.210678,22.857832,15.92314,2.7833843,12.779255,9.215033,15.465203,11.252239,23.352583,4.6368723,4.7641144,11.304801,12.425917,4.887869,19.587543,15.8365555,138.10216,9.603904,110.21129,53.86466,69.13024,294.28268,119.58636,198.94463,66.91931,154.78975,81.87634,129.9878,84.02192,26.949135,12.561321,39.19402,107.7266,28.577993,12.487649,8.7473545,10.289985,2.692581,47.526455
EGR1,398.15442,1322.8721,173.98389,448.14258,387.6923,1236.3152,297.71576,318.04062,208.31624,719.60333,634.99634,890.92505,621.37805,346.24725,281.73355,582.89935,318.07236,425.6413,465.73,70.03882,275.61832,18.786211,225.24742,747.86237,106.433586,248.42882,444.46677,157.42963,134.96338,33.757626,188.88716,55.46237,96.0948,26.622047,164.66696,217.97745,269.52878,180.02983,76.40049,194.0156,74.85177
FOXM1,2.9321396,4.73352,3.0014377,7.946643,0.6108898,0.4875797,2.3593113,1.8958623,2.0883863,0.58683777,0.6025343,1.2226204,2.5089982,16.297674,4.3205495,1.3855089,0.60958517,10.66767,18.40544,4.8423476,16.69068,28.287912,103.87055,45.772865,39.5729,4.8562193,45.846195,37.473946,46.587368,52.488106,41.79096,0.8251058,0.83998436,42.264584,0.67624515,9.976397,7.4634967,0.571434,1.4016777,2.8475506,41.48749
IRF6,46.674713,56.427452,28.99142,39.464104,26.472225,16.940247,31.92618,13.796617,18.199684,17.750454,21.402,17.810816,14.623374,19.439701,33.50064,18.617058,22.504005,33.73055,93.73749,6.975038,87.197845,99.86177,114.38782,171.29509,152.98181,153.88051,116.72135,118.238174,103.8934,86.55866,51.83984,42.21762,54.391468,98.35906,201.38654,173.35773,27.137146,16.528105,19.453424,20.022709,220.27278
FOSB,1048.6643,3818.1953,98.63573,1620.0277,746.7983,1920.6615,155.68959,722.67267,164.99333,1151.206,1344.7812,1603.566,1726.2217,426.50537,22.754318,1192.0852,400.8046,747.5969,305.81204,31.114508,28.727175,1.0674307,134.74052,896.0756,79.31884,59.066124,1157.415,64.88874,171.64615,12.215191,466.20047,1.2938354,1.572655,2.2497458,167.89592,157.03708,624.7006,263.36066,14.43242,222.13998,2.8992944
SOX9,18.172848,1.6597795,7.645298,16.83117,2.1290038,4.149394,6.9855576,4.7400336,9.99187,10.798522,11.061484,6.2674694,3.76515,163.44028,2.9785542,7.288344,3.4183574,9.546236,77.41035,9.341002,102.71564,36.756382,23.453056,184.62556,41.322235,27.6107,37.39662,48.60272,60.875294,24.778238,32.068424,80.19572,57.63006,43.239246,48.285133,33.797073,11.117952,6.139318,6.822377,1.3057737,234.3191
ZNF516,119.02604,92.93446,101.88592,130.00581,301.35373,72.511536,135.38695,82.30821,127.098946,91.29718,88.088806,92.724754,111.95946,68.45889,73.207596,28.187546,69.55753,36.680996,238.20709,59.062134,415.80597,258.97485,391.17072,355.5389,286.09235,163.2725,444.5206,373.6097,361.67642,133.15973,239.22314,151.10443,162.32886,258.5145,252.96233,435.04474,90.01821,252.10193,119.2936,144.51016,597.721
CEBPD,933.1796,1367.152,1565.8589,1205.5895,2075.4373,894.74304,1022.5385,1032.5625,1035.2318,873.34064,812.55566,1175.3038,1200.8844,553.741,1117.3857,660.3077,758.08374,899.0058,166.46346,202.95512,91.69366,205.13237,119.005936,634.16364,144.3176,2598.6235,184.67665,148.05237,138.049,97.68586,112.82358,231.15181,276.68478,152.47786,1180.5789,248.99564,197.97272,641.3604,255.50562,229.82787,434.0022
MEIS1,206.77202,176.75325,211.2802,298.0956,368.121,127.04197,245.64081,189.36455,309.6764,203.34825,302.26688,159.53488,159.62372,118.77581,150.93678,63.159298,281.68555,80.07406,661.4017,318.35736,635.53564,878.78766,527.4714,663.44885,426.1233,838.7752,552.1425,894.2732,484.61963,271.0184,456.88458,303.53372,550.0406,361.7892,913.72095,603.3648,728.9903,1070.0688,800.44464,895.9728,1016.3356
PBX3,293.14224,256.13458,275.9728,244.36865,311.68732,180.53372,354.84705,195.18079,234.49828,252.96257,235.30106,189.51941,263.18427,160.5812,229.50467,84.69781,123.51842,112.36765,37.427406,51.227085,27.538763,85.61075,64.827095,42.537453,43.60474,64.435616,44.96031,76.75009,56.31658,47.163616,72.2026,34.645313,101.880554,47.63663,81.43348,42.618786,171.34966,109.64288,120.90203,183.04977,116.74865
NR4A2,107.49219,93.40779,8.778063,109.127716,2988.5396,791.0017,328.24875,63.28735,138.98586,329.89725,665.3921,650.507,1251.8745,93.3965,10.685884,360.30783,112.27914,68.51672,160.67395,10.643714,19.713118,14.161757,66.80832,182.2048,50.250237,152.19695,124.65781,105.133606,45.22281,12.813339,73.12648,34.753185,3.1871073,37.162624,73.398476,76.10562,48.587135,33.58264,3.12129,44.47961,60.83418
HLF,251.1631,84.60584,290.47308,105.12221,146.92665,144.61278,124.625275,64.20158,56.926743,110.04343,88.79078,47.083702,99.15064,9.009976,239.1748,42.486847,58.23314,44.242283,42.00216,68.48547,38.778637,30.268171,27.267546,21.247917,17.182396,21.766367,26.579111,38.938065,17.227873,9.418768,16.720448,108.25663,100.16674,21.537277,66.40927,45.977627,83.10717,67.69011,52.453686,96.799385,117.03823
HOXB7,25.057693,1.3939985,11.746063,23.623072,13.215027,14.557803,10.574858,11.692812,36.33945,13.359627,11.907731,16.76986,11.555447,16.491144,14.461461,13.501283,7.8195105,0.9620834,113.283806,28.747591,101.60897,102.00592,210.33337,215.3115,250.5953,132.02222,162.44234,192.86517,206.16269,188.47495,101.10971,35.027378,37.153004,133.91673,113.1544,228.85223,61.717148,45.30602,42.40698,56.148193,165.53085
TCF21,856.66254,1386.9545,773.6085,571.6407,595.9235,345.6127,1111.8622,514.8225,341.9284,748.1342,570.6006,403.2637,729.85895,347.58463,676.3244,72.59846,158.86394,93.38299,9.076444,35.764336,6.2829595,11.093223,18.034302,10.59459,11.511632,4.800297,12.571134,30.799156,15.032103,11.1989,9.41676,13.965133,18.779152,25.514149,38.36659,33.10886,105.37233,149.47313,74.67684,121.98161,59.309795
ESR1,171.81609,121.338295,140.13858,227.00206,305.44647,115.55562,132.53078,112.21125,169.0695,133.81494,205.67107,62.99054,126.11266,47.805683,53.32729,38.10376,156.65016,43.731693,1766.5266,882.58716,2118.3447,1533.1125,1814.9501,1828.5537,1651.7222,647.42004,1948.8126,2503.1833,1695.2113,1194.3738,1650.7607,1494.2903,1555.3934,1168.4015,823.9341,2154.7495,496.36005,825.3328,592.76544,626.1933,3836.2227
